pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD,precio_m2
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,41,77000,1878.04878
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,84,74319,884.75
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,2.0,70,195000,2785.714286
Argentina,Neuquén,Neuquén,Departamento,3.0,2.0,1.0,80,130000,1625
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,50,135000,2700
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,130,220204,1693.876923
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,57,149500,2622.807018
Argentina,Santa Fe,San Lorenzo,Departamento,1.0,1.0,1.0,50,85000,1700
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,96,77071,802.8229167
Argentina,Capital Federal,Caballito,Departamento,2.0,2.0,1.0,60,149000,2483.333333
Argentina,Capital Federal,Balvanera,Departamento,4.0,3.0,2.0,95,200000,2105.263158
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,92,70190,762.9347826
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,3.0,2.0,2.0,65,145000,2230.769231
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,40,47500,1187.5
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,32,79000,2468.75
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,74,54225,732.7702703
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,44,138000,3136.363636
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,2.0,63,159000,2523.809524
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,50,145000,2900
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,1.0,83,96339,1160.710843
Argentina,Córdoba,Córdoba,Departamento,5.0,1.0,1.0,50,69000,1380
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,79,57803,731.6835443
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,91,83074,912.9010989
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,72,37159,516.0972222
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,54,41288,764.5925926
Argentina,Capital Federal,Villa Luro,Departamento,2.0,1.0,1.0,47,92000,1957.446809
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,48,85000,1770.833333
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,3.0,105,280000,2666.666667
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,55,41288,750.6909091
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,53,53124,1002.339623
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,90,145885,1620.944444
Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,3.0,2.0,1.0,55,75000,1363.636364
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,29,59000,2034.482759
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,56,72942,1302.535714
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,37,80000,2162.162162
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,114,59180,519.122807
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,40,115000,2875
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,112,203688,1818.642857
Argentina,Capital Federal,Parque Chacabuco,Departamento,2.0,1.0,1.0,28,88000,3142.857143
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,5.0,243,447847,1842.99177
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,39,62500,1602.564103
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,3.0,2.0,1.0,29,70000,2413.793103
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,294,410129,1394.996599
Colombia,Huila,Palermo,Apartamento,1.0,1.0,1.0,47,77071,1639.808511
Argentina,Capital Federal,Constitución,Departamento,2.0,1.0,1.0,44,85000,1931.818182
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,3.0,2.0,1.0,53,117000,2207.54717
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,110,500000,4545.454545
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,2.0,1.0,1.0,50,103000,2060
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,1.0,71,163873,2308.070423
Argentina,Capital Federal,Monserrat,Departamento,2.0,1.0,1.0,35,73000,2085.714286
Colombia,Atlántico,Barranquilla,Apartamento,4.0,4.0,3.0,190,101844,536.0210526
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,142,137077,965.3309859
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,92,575000,6250
Colombia,Cundinamarca,Gachancipá,Apartamento,3.0,3.0,1.0,53,38536,727.0943396
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,2.0,1.0,1.0,37,64500,1743.243243
Argentina,Capital Federal,Congreso,Departamento,2.0,1.0,1.0,45,110000,2444.444444
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,37,100000,2702.702703
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,176,217506,1235.829545
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,78,68814,882.2307692
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,56,50922,909.3214286
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,2.0,110,410000,3727.272727
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,138,165015,1195.76087
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,3.0,90,411000,4566.666667
Argentina,Santa Fe,Rosario,Departamento,4.0,2.0,1.0,58,75000,1293.103448
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,43,139500,3244.186047
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,42,112000,2666.666667
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42,114800,2733.333333
Argentina,Capital Federal,Belgrano,Departamento,1.0,1.0,1.0,36,109000,3027.777778
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70,129721,1853.157143
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,58,26149,450.8448276
Colombia,Cundinamarca,Funza,Apartamento,3.0,3.0,2.0,58,46243,797.2931034
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,35,88000,2514.285714
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,1.0,1.0,1.0,30,69900,2330
Colombia,Antioquia,La Estrella,Apartamento,2.0,2.0,1.0,58,33031,569.5
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,2.0,1.0,1.0,25,45000,1800
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,55,44041,800.7454545
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,44,118000,2681.818182
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,2.0,69,128000,1855.072464
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,64,58354,911.78125
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,33,60006,1818.363636
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,2.0,101,230001,2277.237624
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,55,85329,1551.436364
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,70,160000,2285.714286
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,2.0,1.0,1.0,45,78000,1733.333333
Argentina,Capital Federal,San Telmo,Departamento,4.0,2.0,1.0,76,138000,1815.789474
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,60,68000,1133.333333
Colombia,Antioquia,Medellín,Apartamento,4.0,4.0,3.0,162,79824,492.7407407
Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,3.0,2.0,1.0,60,48000,800
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70,89458,1277.971429
Argentina,Capital Federal,San Telmo,Departamento,3.0,2.0,2.0,70,140000,2000
Colombia,Risaralda,Pereira,Apartamento,1.0,1.0,2.0,88,77071,875.8068182
Colombia,Antioquia,Itagui,Apartamento,3.0,3.0,2.0,88,88081,1000.920455
Argentina,Capital Federal,Puerto Madero,Departamento,2.0,1.0,1.0,54,650000,12037.03704
Argentina,Capital Federal,Palermo,Departamento,5.0,3.0,4.0,249,2350000,9437.751004
Argentina,Capital Federal,Colegiales,Departamento,2.0,1.0,1.0,34,115000,3382.352941
Argentina,Capital Federal,Liniers,Departamento,2.0,1.0,1.0,32,55000,1718.75
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,20,80000,4000
Argentina,Buenos Aires Interior,Bahía Blanca,Departamento,2.0,1.0,1.0,40,68000,1700
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,3.0,2.0,77,93000,1207.792208
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,80,174511,2181.3875
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,52,178000,3423.076923
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,58,163000,2810.344828
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,42,112000,2666.666667
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,40,124000,3100
Argentina,Río Negro,San Carlos de Bariloche,Departamento,3.0,2.0,1.0,52,120000,2307.692308
Colombia,Antioquia,Itagui,Apartamento,3.0,3.0,2.0,66,46793,708.9848485
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,160,950000,5937.5
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,101,63309,626.8217822
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,43,90000,2093.023256
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,2.0,88,225000,2556.818182
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,99,690000,6969.69697
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,100,77071,770.71
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,112,110983,990.9196429
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,115,99092,861.6695652
Argentina,Capital Federal,Recoleta,Departamento,4.0,2.0,2.0,142,860000,6056.338028
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,47,95000,2021.276596
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,1.0,33,35783,1084.333333
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,40,89000,2225
Argentina,Buenos Aires Interior,Junín,Departamento,2.0,1.0,1.0,42,67000,1595.238095
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,128,132122,1032.203125
Argentina,Santa Fe,Rosario,Departamento,4.0,3.0,2.0,126,567000,4500
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,98,110102,1123.489796
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,193,239472,1240.787565
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,2.0,74,183000,2472.972973
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,37,135000,3648.648649
Argentina,Capital Federal,Recoleta,Departamento,9.0,4.0,3.0,329,899999,2735.559271
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,53,145000,2735.849057
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,1.0,1.0,34,57000,1676.470588
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,2.0,80,81200,1015
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,82,126617,1544.109756
Argentina,Capital Federal,Congreso,Departamento,3.0,2.0,1.0,43,89000,2069.767442
Argentina,Capital Federal,Mataderos,Departamento,2.0,1.0,1.0,39,80000,2051.282051
Argentina,Córdoba,Córdoba,Departamento,4.0,3.0,3.0,128,180000,1406.25
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,54,108000,2000
Argentina,Capital Federal,Villa Santa Rita,Departamento,1.0,1.0,1.0,32,115000,3593.75
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,25,40900,1636
Argentina,Capital Federal,Villa Crespo,Departamento,5.0,3.0,3.0,170,410000,2411.764706
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,70,95000,1357.142857
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,1.0,105,350000,3333.333333
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,41,66061,1611.243902
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,4.0,3.0,2.0,105,289000,2752.380952
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,51,145000,2843.137255
Argentina,Santa Fe,Rosario,Departamento,6.0,2.0,1.0,61,80000,1311.47541
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,43,82500,1918.604651
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,134,168443,1257.037313
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,43,78000,1813.953488
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,40,98000,2450
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,3.0,202,217451,1076.490099
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,55,99900,1816.363636
Argentina,Santa Fe,Rosario,Departamento,5.0,2.0,1.0,121,115000,950.4132231
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,1.0,100,174500,1745
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,55,119900,2180
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,5.0,318,660611,2077.393082
Colombia,Bolívar,Cartagena,Apartamento,2.0,2.0,1.0,53,68814,1298.377358
Argentina,Bs.As. G.B.A. Zona Oeste,Moreno,Departamento,3.0,2.0,3.0,90,130000,1444.444444
Argentina,Capital Federal,Belgrano,Departamento,1.0,1.0,1.0,38,100277,2638.868421
Colombia,Valle del Cauca,Jamundí,Apartamento,3.0,3.0,3.0,102,88081,863.5392157
Argentina,Capital Federal,Constitución,Departamento,3.0,2.0,1.0,54,58000,1074.074074
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,69,107349,1555.782609
Colombia,Valle del Cauca,Jamundí,Apartamento,3.0,3.0,3.0,111,96339,867.9189189
Argentina,Capital Federal,San Nicolás,Departamento,1.0,1.0,1.0,19,59000,3105.263158
Argentina,Capital Federal,Puerto Madero,Departamento,3.0,2.0,3.0,192,1090000,5677.083333
Colombia,Cundinamarca,Chía,Apartamento,3.0,3.0,2.0,61,49271,807.7213115
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,75,74319,990.92
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,32,55900,1746.875
Argentina,Córdoba,Córdoba,Departamento,3.0,2.0,2.0,80,135000,1687.5
Argentina,Neuquén,Neuquén,Departamento,4.0,2.0,1.0,60,168000,2800
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,50,54500,1090
Colombia,Santander,Bucaramanga,Apartamento,3.0,3.0,3.0,140,104597,747.1214286
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,3.0,3.0,1.0,62,99900,1611.290323
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,68,44041,647.6617647
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,35,119000,3400
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,195,795000,4076.923077
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,67,135000,2014.925373
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,38,132000,3473.684211
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,38,73000,1921.052632
Argentina,Capital Federal,Puerto Madero,Departamento,3.0,2.0,2.0,159,1050000,6603.773585
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,67,148637,2218.462687
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35,75000,2142.857143
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,53,48170,908.8679245
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,28,45000,1607.142857
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,27,88000,3259.259259
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,40,60000,1500
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,55,41288,750.6909091
Argentina,Capital Federal,Once,Departamento,2.0,1.0,1.0,33,68000,2060.606061
Argentina,Capital Federal,Recoleta,Departamento,7.0,4.0,3.0,249,1500000,6024.096386
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,87,77071,885.8735632
Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Departamento,3.0,2.0,1.0,77,235000,3051.948052
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,27,79900,2959.259259
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,23,90000,3913.043478
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,82,101844,1242
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,2.0,63,83050,1318.253968
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,54,50922,943
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,34,75695,2226.323529
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,98,68814,702.1836735
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,3.0,2.0,1.0,110,95000,863.6363636
